Planet 1
Position History (x, y, z)
1.4928386079280789, -0.25895749131364104, 0.0
1.4933459514690082, -0.15874374110501546, 0.0
1.480802085215791, -0.057142616505355306, 0.0
1.4547894375571186, 0.04497827672693634, 0.0
1.414810882449953, 0.14666740424171582, 0.0
1.360280021564104, 0.24684798151257165, 0.0
1.2905111342911217, 0.344263364247622, 0.0
1.204710339696066, 0.43740202337710177, 0.0
1.1019716769590278, 0.5243909743648081, 0.0
0.9812865822518984, 0.6028398653958271, 0.0
0.8415860090659736, 0.6696069050923191, 0.0
0.681859412878177, 0.720440317614026, 0.0
0.5014543370878197, 0.7494252884717172, 0.0
0.300804415586837, 0.7481543445842571, 0.0
0.08317241904646763, 0.7046460262729619, 0.0
-0.14135160379014083, 0.6027475364680754, 0.0
-0.3482429939415087, 0.4256611313554306, 0.0
-0.4931651622892347, 0.17282973339864416, 0.0
-0.5357943030500443, -0.11584959032625575, 0.0
-0.48214527128298384, -0.38371108960443984, 0.0
-0.36749943537627666, -0.6030284729432045, 0.0
-0.22196591122958853, -0.771662163152806, 0.0
-0.06374110851744963, -0.8961746656455638, 0.0
0.09708531651629146, -0.9841095145817813, 0.0
0.25494008058325907, -1.041921761210026, 0.0
0.40668062162426555, -1.0747454991341352, 0.0
0.5504879347607576, -1.086603803279935, 0.0
0.6852795934858524, -1.0806661108933067, 0.0
0.8103905821991922, -1.0594622257824786, 0.0
0.9253939554042256, -1.0250441249837798, 0.0
1.0299965432208276, -0.9791051972522119, 0.0
1.123976145228845, -0.9230681184582387, 0.0
1.207142276919795, -0.8581504150765958, 0.0
1.279310556452334, -0.785414368700043, 0.0
1.340285062798859, -0.7058060333353866, 0.0
1.3898453043601189, -0.6201868130949806, 0.0
1.4277357228100702, -0.5293601690383236, 0.0
1.453656385620515, -0.4340954795094917, 0.0
1.4672539373165052, -0.3351507921899791, 0.0
1.4681121186531545, -0.23329614025938905, 0.0
1.4557413052551473, -0.12933924960197254, 0.0
1.4295666225106882, -0.02415588215554279, 0.0
1.3889143271500153, 0.08127215576563342, 0.0
1.3329964149510145, 0.18580696829370566, 0.0
1.260894035244958, 0.288085865096352, 0.0
1.1715417461671058, 0.3864235963471623, 0.0
1.0637180395181038, 0.47866873667644594, 0.0
0.936055556190753, 0.5619865762780605, 0.0
0.7871035664307557, 0.6325227586222482, 0.0
0.6155222767303029, 0.6848739532559851, 0.0
0.4206060186961922, 0.7112611254555576, 0.0
0.2036234234376908, 0.7003334236292624, 0.0
-0.028895351162796346, 0.635971432149262, 0.0
-0.25809915282732776, 0.4986505242463569, 0.0
-0.4441442787189701, 0.27794743122512294, 0.0
-0.5387860579805017, 4.465617868043559e-05, 0.0
-0.5314612248064065, -0.27786576864206747, 0.0
-0.45120419453603433, -0.5176442419398504, 0.0
-0.3297013887819186, -0.7101031350074154, 0.0
-0.18786241862931177, -0.8587622674278005, 0.0
-0.037837765370546256, -0.9700026620696605, 0.0
0.11341124160651939, -1.0498559530187486, 0.0
0.26180927316581504, -1.1033173491998858, 0.0
0.4048925421058964, -1.1343811316285406, 0.0
0.5411172381704995, -1.146229261530633, 0.0
0.6694769673588921, -1.1414172356988959, 0.0
0.7892844172812935, -1.122024030672445, 0.0
0.9000423793514994, -1.08976627515948, 0.0
1.0013648028903657, -1.0460839693233481, 0.0
1.092926635748635, -0.9922051333068096, 0.0
1.174430596467845, -0.9291952886651292, 0.0
1.2455840339487905, -0.8579961914122954, 0.0
1.3060817775630047, -0.7794570855764402, 0.0
1.355592421532883, -0.6943609424444652, 0.0
1.3937463648005057, -0.6034476338666571, 0.0
1.4201244275292049, -0.5074357037513229, 0.0
1.4342461433756126, -0.4070443205546864, 0.0
1.4355569717111707, -0.3030171165480583, 0.0
1.4234137440397532, -0.19614998670111605, 0.0
1.397067706320044, -0.08732562501578463, 0.0
1.3556446197281975, 0.022441201097318245, 0.0
1.2981216887471743, 0.13194157016421498, 0.0
1.223301943034219, 0.23968394961352452, 0.0
1.1297889322789376, 0.3437637953174708, 0.0
1.015970226568029, 0.4416652617964239, 0.0
0.880032376191927, 0.5299511398427527, 0.0
0.7200660263084888, 0.6037673040534032, 0.0
0.5344131496758089, 0.6560457689708666, 0.0
0.3226500090023432, 0.6762714829945585, 0.0
0.088184622511014, 0.6489137790450649, 0.0
-0.1555749252483881, 0.5531643410918936, 0.0
-0.37506337404413276, 0.37111738900517427, 0.0
-0.5189730621384784, 0.11428801715397469, 0.0
-0.5605173139746533, -0.16508313736808505, 0.0
-0.5189005255559258, -0.41996097999524346, 0.0
-0.425652290497053, -0.6330515165278354, 0.0
-0.3040230335132496, -0.8039320484199937, 0.0
-0.1682209643511855, -0.9373350284158346, 0.0
-0.02665349411235135, -1.0386128215777615, 0.0
0.11561746296254649, -1.1124779910190512, 0.0
0.25544254600904215, -1.1628086097379542, 0.0
0.39078687554130703, -1.1927421062060253, 0.0
0.5202811391718094, -1.2048201906039526, 0.0
0.6429619536626466, -1.2011202159290826, 0.0
0.7581166092038855, -1.1833605126042848, 0.0
0.8651869163033223, -1.1529817078079325, 0.0
0.9637074309750224, -1.1112090548697018, 0.0
1.053264143558581, -1.0591005739024204, 0.0
1.1334655370329414, -0.9975848779961964, 0.0
1.2039211352682162, -0.9274916663529303, 0.0
1.2642244767838464, -0.8495771813056907, 0.0
1.31393848885813, -0.7645464615785597, 0.0
1.3525818301939159, -0.6730739559760629, 0.0
1.3796150963679752, -0.5758239731594376, 0.0
1.3944259401981531, -0.47347253923018756, 0.0
1.3963122075357821, -0.3667325527878459, 0.0
1.3844621705618632, -0.25638475267766875, 0.0
1.357930906433029, -0.1433181113456326, 0.0
1.315611917921835, -0.028585138157883078, 0.0
1.2562034585744102, 0.08651922826412571, 0.0
1.178170292521352, 0.20034093490656635, 0.0
1.0797052814926684, 0.3106884317994699, 0.0
0.9587051469494651, 0.41455150560234433, 0.0
0.8128014388616711, 0.5076462379644412, 0.0
0.6395596624833202, 0.5836668060346238, 0.0
0.43715403481110354, 0.6330724958834687, 0.0
0.20633132831301268, 0.6413258411551129, 0.0
-0.044465527467281635, 0.5874953260806902, 0.0
-0.2888266168408218, 0.4486350572263881, 0.0
-0.4769051001686752, 0.22235232355129111, 0.0
-0.5680901078726308, -0.04910465752691803, 0.0
-0.5685754270491402, -0.31272067773534407, 0.0
-0.5074668365157764, -0.5424589036390852, 0.0
-0.40971140671274264, -0.7330228852328804, 0.0
-0.291477147290354, -0.8869474897060194, 0.0
-0.16264093740143698, -1.008610800639393, 0.0
-0.029290113491481223, -1.1022768167607735, 0.0
0.10470737538470759, -1.171607067929857, 0.0
0.2368005831334218, -1.2196294447758913, 0.0
